Lnum	basehw	compound	resolution
3	aMSa	An-	anaMSa
3	aMSa	Eka-	ekAMSa
3	aMSa	Caturtha-	caturTAMSa
3	aMSa	Tṛtīya-	tftIyAMSa
3	aMSa	Tri-	tryaMSa
3	aMSa	Dvi-	dvyaMSa
4	aMSu	Gharma-	GarmAMSu
4	aMSu	Tigma-	tigmAMSu
4	aMSu	Tīkṣṇa-	tIkzRAMSu
4	aMSu	Daśana-	daSanAMSu
4	aMSu	Divya-	divyAMSu
4	aMSu	Dīpta-	dIptAMSu
4	aMSu	Prāleya-	prAleyAMSu
4	aMSu	Sahasra-	sahasrAMSu
4	aMSu	Sudhā-	suDAMSu
4	aMSu	Haṃsa-	haMsAMSu
4	aMSu	Hima-	himAMSu
5	aMSuka	Cīna-	cInAMSuka
5	aMSuka	Tanu-	tanvaMSuka
5	aMSuka	Patākā-	patAkAMSuka
5	aMSuka	Sita-	sitAMSuka
5	aMSuka	Stana-	stanAMSuka
22	akfta	Kṛta-	kftAkfta
26	akza	Kamala-patra-	kamalapatrAkza
26	akza	Kūṭa-	kUwAkza
26	akza	Jāla-	jAlAkza
26	akza	Tāmra-	tAmrAkza
26	akza	Tāraka-	tArakAkza
26	akza	Tryakṣa	tryakza
26	akza	Daśākṣa	daSAkza
26	akza	Padma-	padmAkza
26	akza	Puṇḍarīka-	puRqarIkAkza
26	akza	Puṣkara-	puzkarAkza
26	akza	Manda-	mandAkza
26	akza	Lohita-	lohitAkza
26	akza	Sahasra-	sahasrAkza
26	akza	Su-	svakza
27	akza	Eka-	ekAkza
28	akzan	Tryakṣan	tryakzan
30	akzara	An-	anakzara
30	akzara	Eka-	ekAkzara
30	akzara	Ghuṇa-	GuRAkzara
30	akzara	Catur-	caturakzara
30	akzara	Tryakṣara	tryakzara
30	akzara	Ṣaḍakṣara	zaqakzara
32	akzi	Agra-	agrAkzi
41	agAra	Agnyagāra	agnyagAra
42	aguru	Kāla-	kAlAguru
43	agni	An-	anagni
43	agni	Ākita-	AkitAgni
43	agni	An-āhita-	anAhitAgni
43	agni	Kaṭa-	kawAgni
43	agni	Kopa-	kopAgni
