headword	Lnum
अकृतत्यागमहिमन्	11106.002
अकोष	3845.002
अक्लिश्ट	3979.002
अगतस्पृह	16708.002
अग्निसेचन	16363.002
अग्र्यधुरा	7043.002
अङ्गुलिसम्वृताधरोष्ठ	250.002
अट्टपतिभागाख्य	149
अतिलुब्धता	193
अतृप्तिता	208
अत्युदारता	2113.002
अद्यपूर्व	9100.006
अद्यूति	238
अधर्मपरवन्त्	8125.002
अधस्वासस्	13106.002
अधिकोद्रेचिताभिख्य	730.002
अध्यापकता	300
अनभीक्ष्णम्	854.002
अनुरूपकुल	3588.002
अनेकपितृ	8824.002
अनेकश्रित	15008.002
अन्तरात्मन्य	530
अन्नकारणम्	3269.006
अन्व्यध्	14178.004
अन्ॐकृत	516
अपण्डितता	626
अपराधकृत्	658
अपरिवर्तिन्	8363.002
अपविघ्नम्	13218.004
अपहृतभर	10435.004
अपाषण्डधर्मसेतु	16365.004
अपुनःसम्भव	15779.004
अप्रयोजन	9827.002
अभग्नमानम्	11193.004
अभिनवकुसुमस्तवकित	16532.002
अभिनिवेशवन्त्	763
अभिलाषाङ्कुर	78.002
अभिसरणवेश	13999.004
अभीष्टवर्षिन्	12811.004
अभ्युपेतार्थकृत्य	3716.004
अभ्रपटल	7988.004
अभ्रावकाशक	896
अमरशत्रुराज	12042.004
अमान्द्य	11208.002
अमित्त्र	11301.002
अमृतसेक	16358.002
अमृतास्वादनीय	16842.004
अमोघमहिमन्	11106.004
अमोघवीर्य	13861.002
अम्भोविन्दुग्रहणरभस	11984.004
अयःपिण्डवत्	8819.002
अयस्कान्तशलाका	14527.002
अराजन्यप्रसूतितस्	978
अरिक्तपाणि	8590.002
अरिसंहति	15268.002
अर्घतस्	1005
अर्घप्रक्षेपण	9353.002
अर्थयोग	11853.006
अर्धत्रयोदशन्	6123.002
अर्धपथिन्	8056.002
अलकवल्लरि	12856.002
अलब्धोपम	2306.004
अलम्बिन्	12346.002
अलोचनगोचर	4575.004
अवकाशविषय	13709.006
अवतंसस्थानीय	16610.002
अवभासकत्व	1165
अवभासना	1166
अवस्कन्दप्रदान	9730.002
अविध्वंसिन्	13371.002
अविनोददीर्घयाम	11778.002
अविरुद्धता	13541.002
अविवर्तिन्	13593.002
अविहितसिध्	16148.008
अशंकुसुक	1238
अश्वरूप	12181.010
अष्टानवत	7252.014
असकलव्यक्ति	14151.002
असमवायित्व	1292
असमसाहसिक	16121.006
असमीक्षम्	15666.002
असिपत्रवृक्ष	13876.002
अस्मत्समीपतस्	15672.002
अस्मत्स्थान	16605.006
अहितकरण	2959.008
आकर्णपूर्ण	9172.002
आगण्डलम्ब	12341.002
आगत्व	1391
आघ्राणतस्	1413
आचारतस्	1421
आज्ञत्व	1439
आत्मंभरित्व	1476
आत्ममात्र	11166.010
आदक	1487
आदेशतस्	1507
आपन्नसत्त्व	15417.006
आयाससाध्य	15992.004
आयुधव्यसन	14224.002
आर्त्तता	1688
आलम्बितप्रार्थन	10046.002
आवृतविग्रह	13209.002
आशाविभङ्ग	13458.002
आशित्व	1763
आशुरय	11997.002
आश्रयाशवत्	1778
इतरेतरतस्	1855
इतिहासवाद	13005.006
उक्षणज	1952
उग्रश्रवण	14993.002
उच्चगुल्फ	4517.002
उच्चैस्तरत्व	1969
उच्छीलीन्ध्रातपत्र	1458.002
उच्छ्रायवन्त्	1986
उत्तरत्तर	2033.004
उत्तरायणसंक्रान्ति	15314.002
उत्पताकध्वज	7126.002
उत्पताकभुजलत	12331.004
उत्पन्नप्रतिभ	9586.002
उत्साहभङ्ग	10404.004
उदकविवध	13587.002
उदयाख्य	1383.002
उन्मायिन्	11238.008
उपक्रोशपात्र	8620.006
उपात्तहर्ष	17019.002
उपाधिता	2391
उप्तवीज	13827.006
उष्ट्रनामन्	7331.004
ऊधस्वन्त्	2485
ऊर्णमय	2499
ऊर्मिभुज	10611.002
ऊर्मिषट्क	15119.002
ऊल्कामुख	11351.022
ऋग्यजुःसामलक्षण	12278.008
एककेदार	3770.002
एकपत्नीत्व	2582
एकवेनि	13949.003
एकवेनी	13949.002
एकश्रुतधरत्व	2591
एकस्थता	2593
एकांशता	2594
एकोननवत	7252.002
एकोनविंश	13140.002
एकोनषष्ट	15130.004
एनद्	2633
एवंस्थ	16600.002
कक्षघ्न	2773
